Temp,Load,time,COF
25,0.5,0,7.20E-01
25,0.5,20,7.29E-01
25,0.5,40,7.37E-01
25,0.5,60,7.46E-01
25,0.5,80,7.54E-01
25,0.5,100,7.62E-01
25,0.5,120,7.70E-01
25,0.5,140,7.78E-01
25,0.5,160,7.86E-01
25,0.5,180,7.94E-01
25,0.5,200,8.01E-01
25,0.5,220,8.08E-01
25,0.5,240,8.15E-01
25,0.5,260,8.22E-01
25,0.5,280,8.29E-01
25,0.5,300,8.36E-01
25,0.5,320,8.42E-01
25,0.5,340,8.48E-01
25,0.5,360,8.55E-01
25,0.5,380,8.61E-01
25,0.5,400,8.66E-01
25,0.5,420,8.72E-01
25,0.5,440,8.77E-01
25,0.5,460,8.83E-01
25,0.5,480,8.88E-01
25,0.5,500,8.93E-01
25,0.5,520,8.98E-01
25,0.5,540,9.03E-01
25,0.5,560,9.07E-01
25,0.5,580,9.11E-01
25,0.5,600,9.16E-01
25,0.5,620,9.20E-01
25,0.5,640,9.24E-01
25,0.5,660,9.27E-01
25,0.5,680,9.31E-01
25,0.5,700,9.34E-01
25,0.5,720,9.37E-01
25,0.5,740,9.41E-01
25,0.5,760,9.43E-01
25,0.5,780,9.46E-01
25,0.5,800,9.49E-01
25,0.5,820,9.51E-01
25,0.5,840,9.54E-01
25,0.5,860,9.56E-01
25,0.5,880,9.58E-01
25,0.5,900,9.59E-01
25,0.5,920,9.61E-01
25,0.5,940,9.63E-01
25,0.5,960,9.64E-01
25,0.5,980,9.65E-01
25,0.5,1000,9.66E-01
25,1,0,0.5548
25,1,20,0.56657964
25,1,40,0.57813056
25,1,60,0.58945276
25,1,80,0.60054624
25,1,100,0.611411
25,1,120,0.62204704
25,1,140,0.63245436
25,1,160,0.64263296
25,1,180,0.65258284
25,1,200,0.662304
25,1,220,0.67179644
25,1,240,0.68106016
25,1,260,0.69009516
25,1,280,0.69890144
25,1,300,0.707479
25,1,320,0.71582784
25,1,340,0.72394796
25,1,360,0.73183936
25,1,380,0.73950204
25,1,400,0.746936
25,1,420,0.75414124
25,1,440,0.76111776
25,1,460,0.76786556
25,1,480,0.77438464
25,1,500,0.780675
25,1,520,0.78673664
25,1,540,0.79256956
25,1,560,0.79817376
25,1,580,0.80354924
25,1,600,0.808696
25,1,620,0.81361404
25,1,640,0.81830336
25,1,660,0.82276396
25,1,680,0.82699584
25,1,700,0.830999
25,1,720,0.83477344
25,1,740,0.83831916
25,1,760,0.84163616
25,1,780,0.84472444
25,1,800,0.847584
25,1,820,0.85021484
25,1,840,0.85261696
25,1,860,0.85479036
25,1,880,0.85673504
25,1,900,0.858451
25,1,920,0.85993824
25,1,940,0.86119676
25,1,960,0.86222656
25,1,980,0.86302764
25,1,1000,0.8636
25,2,0,0.4574
25,2,20,0.46759432
25,2,40,0.47760128
25,2,60,0.48742088
25,2,80,0.49705312
25,2,100,0.506498
25,2,120,0.51575552
25,2,140,0.52482568
25,2,160,0.53370848
25,2,180,0.54240392
25,2,200,0.550912
25,2,220,0.55923272
25,2,240,0.56736608
25,2,260,0.57531208
25,2,280,0.58307072
25,2,300,0.590642
25,2,320,0.59802592
25,2,340,0.60522248
25,2,360,0.61223168
25,2,380,0.61905352
25,2,400,0.625688
25,2,420,0.63213512
25,2,440,0.63839488
25,2,460,0.64446728
25,2,480,0.65035232
25,2,500,0.65605
25,2,520,0.66156032
25,2,540,0.66688328
25,2,560,0.67201888
25,2,580,0.67696712
25,2,600,0.681728
25,2,620,0.68630152
25,2,640,0.69068768
25,2,660,0.69488648
25,2,680,0.69889792
25,2,700,0.702722
25,2,720,0.70635872
25,2,740,0.70980808
25,2,760,0.71307008
25,2,780,0.71614472
25,2,800,0.719032
25,2,820,0.72173192
25,2,840,0.72424448
25,2,860,0.72656968
25,2,880,0.72870752
25,2,900,0.730658
25,2,920,0.73242112
25,2,940,0.73399688
25,2,960,0.73538528
25,2,980,0.73658632
25,2,1000,0.7376
25,5,0,0.3696
25,5,20,0.37893892
25,5,40,0.38810368
25,5,60,0.39709428
25,5,80,0.40591072
25,5,100,0.414553
25,5,120,0.42302112
25,5,140,0.43131508
25,5,160,0.43943488
25,5,180,0.44738052
25,5,200,0.455152
25,5,220,0.46274932
25,5,240,0.47017248
25,5,260,0.47742148
25,5,280,0.48449632
25,5,300,0.491397
25,5,320,0.49812352
25,5,340,0.50467588
25,5,360,0.51105408
25,5,380,0.51725812
25,5,400,0.523288
25,5,420,0.52914372
25,5,440,0.53482528
25,5,460,0.54033268
25,5,480,0.54566592
25,5,500,0.550825
25,5,520,0.55580992
25,5,540,0.56062068
25,5,560,0.56525728
25,5,580,0.56971972
25,5,600,0.574008
25,5,620,0.57812212
25,5,640,0.58206208
25,5,660,0.58582788
25,5,680,0.58941952
25,5,700,0.592837
25,5,720,0.59608032
25,5,740,0.59914948
25,5,760,0.60204448
